date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:42:59	51599/51599	---MCZ	200	added ('OK')	text/html	etag:W/%225d67fa32-c98f%22	https://templates.themekit.dev/codrop/index-saas.html	C:/My%20Web%20Sites/fannavars/templates.themekit.dev/codrop/index-saas.html	(from )
21:43:00	222/222	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Feb%202020%2018:12:58%20GMT	https://templates.themekit.dev/robots.txt		(from )
21:43:01	104797/104797	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d668111-1995d%22	https://templates.themekit.dev/codrop/themekit/scripts/jquery.min.js	C:/My%20Web%20Sites/fannavars/templates.themekit.dev/codrop/themekit/scripts/jquery.min.js	(from https://templates.themekit.dev/codrop/index-saas.html)
21:43:01	61638/61638	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d668111-f0c6%22	https://templates.themekit.dev/codrop/themekit/scripts/main.js	C:/My%20Web%20Sites/fannavars/templates.themekit.dev/codrop/themekit/scripts/main.js	(from https://templates.themekit.dev/codrop/index-saas.html)
21:43:01	10644/10644	---MCZ	200	added ('OK')	text/css	etag:W/%225d665298-2994%22	https://templates.themekit.dev/codrop/themekit/css/bootstrap-grid.css	C:/My%20Web%20Sites/fannavars/templates.themekit.dev/codrop/themekit/css/bootstrap-grid.css	(from https://templates.themekit.dev/codrop/index-saas.html)
21:43:02	112738/112738	---MCZ	200	added ('OK')	text/css	etag:W/%225d668111-1b862%22	https://templates.themekit.dev/codrop/themekit/css/style.css	C:/My%20Web%20Sites/fannavars/templates.themekit.dev/codrop/themekit/css/style.css	(from https://templates.themekit.dev/codrop/index-saas.html)
21:43:02	3215/3215	---MCZ	200	added ('OK')	text/css	etag:W/%225d668111-c8f%22	https://templates.themekit.dev/codrop/themekit/css/glide.css	C:/My%20Web%20Sites/fannavars/templates.themekit.dev/codrop/themekit/css/glide.css	(from https://templates.themekit.dev/codrop/index-saas.html)
21:43:03	10579/10579	---MCZ	200	added ('OK')	text/css	etag:W/%225d668111-2953%22	https://templates.themekit.dev/codrop/themekit/css/magnific-popup.css	C:/My%20Web%20Sites/fannavars/templates.themekit.dev/codrop/themekit/css/magnific-popup.css	(from https://templates.themekit.dev/codrop/index-saas.html)
21:43:03	11764/11764	---MCZ	200	added ('OK')	text/css	etag:W/%225d668111-2df4%22	https://templates.themekit.dev/codrop/themekit/css/content-box.css	C:/My%20Web%20Sites/fannavars/templates.themekit.dev/codrop/themekit/css/content-box.css	(from https://templates.themekit.dev/codrop/index-saas.html)
21:43:03	6811/6811	---MCZ	200	added ('OK')	text/css	etag:W/%225d668111-1a9b%22	https://templates.themekit.dev/codrop/themekit/css/contact-form.css	C:/My%20Web%20Sites/fannavars/templates.themekit.dev/codrop/themekit/css/contact-form.css	(from https://templates.themekit.dev/codrop/index-saas.html)
21:43:03	3674/3674	---MCZ	200	added ('OK')	text/css	etag:W/%225d668111-e5a%22	https://templates.themekit.dev/codrop/themekit/css/media-box.css	C:/My%20Web%20Sites/fannavars/templates.themekit.dev/codrop/themekit/css/media-box.css	(from https://templates.themekit.dev/codrop/index-saas.html)
21:43:04	57794/57794	---MCZ	200	added ('OK')	text/css	etag:W/%225d66810b-e1c2%22	https://templates.themekit.dev/codrop/skin.css	C:/My%20Web%20Sites/fannavars/templates.themekit.dev/codrop/skin.css	(from https://templates.themekit.dev/codrop/index-saas.html)
